seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Katharine,Alvarez,64,Naleg View,Dogcuaso,TN,28241,2507.03,YELLOW,11/24/1972
2,Marian,Nguyen,48,Cafvob Loop,Fonlatnet,OK,34861,720.09,WHITE,02/01/2037
3,Milton,Oliver,25,Kunza Manor,Buitazar,FL,41589,3652.63,WHITE,09/03/1949
4,Teresa,Day,22,Woahu View,Jobeswug,OR,48867,4411.66,RED,06/21/1990
5,Sadie,Greer,57,Wulsab River,Refgamsu,ND,92622,5340.70,WHITE,05/03/1907
6,Clyde,Blake,57,Movah Loop,Uwouhse,OR,51371,2829.94,RED,09/22/2018
7,Lizzie,Hanson,54,Titrat Way,Heurjog,MT,53014,9019.01,RED,05/10/2062
8,Lida,Thompson,40,Wopa Parkway,Iwuuliumo,KY,46464,2282.05,YELLOW,02/16/2056
9,Timothy,Hamilton,35,Nupbe Trail,Nikumfir,VA,33123,9437.48,GREEN,02/25/1982
10,Irene,Beck,25,Cata Grove,Vulashe,MI,46609,6295.36,WHITE,01/02/2064
11,Harvey,Nash,39,Zabdi Circle,Piftusbup,HI,74173,3971.82,WHITE,01/29/2064
12,Alma,Cross,36,Niuco Pass,Tosgecu,ID,59315,8153.67,RED,04/21/1977
13,Earl,Mills,42,Unkik Path,Bettufzar,IN,02064,4462.40,YELLOW,11/29/1928
14,Edith,Black,51,Maho Grove,Ajehudga,GA,87090,8194.41,YELLOW,05/08/1912
15,Louis,Flores,57,Zetwas Path,Upidutmi,PA,20849,4935.37,YELLOW,12/10/1914
16,Lulu,Luna,23,Kawi Extension,Kahnukji,MO,56586,7590.88,GREEN,08/12/1961
17,Maude,McLaughlin,47,Fizge Way,Cutriziv,KS,02902,3821.01,WHITE,08/03/1927
18,Sallie,Hill,50,Zavu Loop,Gimepaw,AL,12150,3004.05,BLUE,05/04/1985
19,Mable,Webster,41,Meldol Path,Anugokwuh,AZ,92131,5277.61,RED,06/24/2041
20,Eula,Blair,34,Pevew River,Vutahep,UT,56045,5613.38,RED,09/20/1925
21,Loretta,Chavez,32,Wudcuk Manor,Nermesma,OH,42162,5048.79,WHITE,09/13/1915
22,Lizzie,Scott,26,Lorbu Key,Dihodpod,KY,51695,5605.51,YELLOW,10/25/2006
23,Thomas,Wilkins,22,Wujdo Glen,Girimi,NV,90200,6082.00,BLUE,09/28/2004
24,Louise,Holmes,44,Voba Drive,Dolmaznaf,MI,53858,1036.72,BLUE,01/14/1925
25,Donald,Murray,47,Afelah Mill,Vitezut,SC,13894,5092.61,WHITE,04/16/1989
26,Carolyn,Lewis,54,Riaca Pike,Fomkoola,AR,97051,6943.71,GREEN,12/30/2034
27,Bill,Henry,56,Afhu Highway,Wigeve,NE,00538,3132.29,YELLOW,11/08/1909
28,Katie,King,54,Tahcej Court,Nojuge,OH,89310,5650.02,YELLOW,10/04/1968
